HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.3944865512589879,1.0,0.5201845546990378,0.5201845546990378,0.30542922716976156,0.332093826792814,0.332093826792814,0.30542922716976156,0.19348979610932696,1.0,0.5201845546990378,0.332093826792814,25.905924810035895
vit-base-patch16-224_batch8-inf,1.0,0.7033786466669112,1.0,0.4410689429915826,0.8362539172648639,0.8629584963519126,0.8629584963519126,0.5656876308266504,0.8629584963519126,0.49460631117065734,0.8629584963519126,0.4410689429915826,0.887786817923133,161.7458225305613
albert-base-v2_batch2-train,1.0,0.48208283398625035,0.9190952875008682,0.9401992213113318,0.9401992213113318,0.30110760639476053,0.31140132624982253,0.31140132624982253,0.30110760639476053,0.2429041168635533,1.0,0.9401992213113318,0.31140132624982253,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6644423449557055,1.0,0.425570367026222,0.7466199559173542,0.8492484265236528,0.8492484265236528,0.6198710228818003,0.8492484265236528,0.425570367026222,0.8492484265236528,0.7497007093472036,0.6198710228818003,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.6717023482303558,0.9902907401573539,0.4332363774853572,0.4332363774853572,0.7661181000747064,0.7661181000747064,0.5408816857225652,0.7661181000747064,0.4332363774853572,0.7661181000747064,0.7896620849932613,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5249633808446474,0.9530805068856177,0.39843953906845997,1.0,0.6860490726281833,0.6860490726281833,0.22451886709130514,0.6860490726281833,0.2870911580700693,0.6860490726281833,0.8819766686189561,0.39843953906845997,87.77058230585791
bert-base-cased_batch16-inf,1.0,0.6805407897874957,0.9307997442515209,0.5248421970324572,0.5248421970324572,0.6853413952213205,0.31734179426592996,0.5843587764895762,0.6853413952213205,0.6182396137378569,0.7147995820164955,0.775804652083366,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.4350408638013152,0.8177332487912197,0.3688604699396763,0.3688604699396763,0.8177332487912197,0.8177332487912197,0.3310356655844739,0.8177332487912197,0.31952512886369994,0.8177332487912197,1.0,0.3310356655844739,67.25758135439466
vit-base-patch16-224_batch16-inf,1.0,0.6934205087185839,1.0,0.9087149576753218,0.9087149576753218,0.612057385578228,0.6225323294207489,0.6225323294207489,0.612057385578228,0.5040599322935939,0.7450673014016352,0.9442358002821596,0.6225323294207489,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.3269580459288338,0.6371425351187133,0.3164147431222791,1.0,0.6371425351187133,0.16430429476399308,0.16430429476399308,0.23669581488622096,0.3164147431222791,0.23669581488622096,0.3044983956501828,0.16430429476399308,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.7521506524858889,1.0,0.7735589159373564,0.7735589159373564,1.0,0.5580567580990071,0.5580567580990071,0.6769869359071918,0.7735589159373564,1.0,0.7735589159373564,0.6769869359071918,123.8383918006404
albert-base-v2_batch16-train,1.0,0.5896170406796556,0.9353966800994905,0.45608041232739366,1.0,0.6894679254398438,0.6894679254398438,0.3122920700032064,0.6894679254398438,0.45608041232739366,0.6894679254398438,0.8425494915750965,0.45608041232739366,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.6109379496049723,0.9362292935767959,0.8717991927662279,0.8717991927662279,0.7782071968695128,0.7782071968695128,0.7782071968695128,0.7782071968695128,0.4163144099722503,0.7782071968695128,0.36577637644896194,0.7058265126335805,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4803651914901891,0.8648474839143732,0.3838404961737837,0.3838404961737837,0.35442290399174053,0.3599723746445445,0.3599723746445445,0.35442290399174053,0.2778883294133905,1.0,0.3838404961737837,0.3599723746445445,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6682127841250929,1.0,0.37673399669586877,0.37673399669586877,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.4534389767182208,0.8619407417410206,0.9187123140753355,0.9194540049108875,139.57993180217647
bert-base-cased_batch16-train,1.0,0.696142947971193,0.8689615574588939,0.7311409291932361,0.7311409291932361,0.693803840117359,0.2799815186891671,0.2799815186891671,0.693803840117359,0.5709264811268712,0.8689615574588939,0.7311409291932361,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.6622868918982198,0.8937400618301844,0.7607488509090041,0.7607488509090041,0.8937400618301844,0.8937400618301844,0.5838399737438961,0.8937400618301844,0.6462781442162702,0.8937400618301844,0.3492658584283552,0.726479381278119,143.5958090967668
bert-base-cased_batch2-train,1.0,0.43486241783000834,0.9827826973083751,1.0,1.0,0.17124130562754725,0.3009878714032219,0.3009878714032219,0.2837808669399921,0.19633391028838287,0.4980607364592595,0.3493917545470744,0.6964830732245132,99.59142512302661
vit_h_14_batch2-train,1.0,0.4202636205768232,0.8685768468604965,0.968078505465862,0.968078505465862,0.6819940662041939,0.6819940662041939,0.2605690666769223,0.6819940662041939,0.08230815809032595,0.6819940662041939,0.3085438202030982,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.25180944012063416,1.0,0.28048531609453886,1.0,0.0923329304100783,0.048012083764117065,0.04434000918589089,0.06543201161915332,0.06543201161915332,0.04434000918589089,0.28048531609453886,0.28048531609453886,84.91698260098705
