workload1,idx1,workload2,idx2,workload3,idx3,w1_Threads,w1_Compute (SM) Throughput,w1_DRAM Throughput,w1_Memory Throughput,w1_Registers,w1_Static Shared Memory,w1_PCIe read bandwidth,w1_PCIe write bandwidth,w1_Short_Kernel,w1_avg_Thread,w1_Long_Kernel,w1_ave_Kernel_Length,w1_long/short_Ratio,w2_Threads,w2_Compute (SM) Throughput,w2_DRAM Throughput,w2_Memory Throughput,w2_Registers,w2_Static Shared Memory,w2_PCIe read bandwidth,w2_PCIe write bandwidth,w2_Short_Kernel,w2_avg_Thread,w2_Long_Kernel,w2_ave_Kernel_Length,w2_long/short_Ratio,w3_Threads,w3_Compute (SM) Throughput,w3_DRAM Throughput,w3_Memory Throughput,w3_Registers,w3_Static Shared Memory,w3_PCIe read bandwidth,w3_PCIe write bandwidth,w3_Short_Kernel,w3_avg_Thread,w3_Long_Kernel,w3_ave_Kernel_Length,w3_long/short_Ratio
bert-base-cased_batch8-inf,0,bert-base-cased_batch8-inf,0,vit_h_14_batch2-train,10,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,183316.88839231597,44.95736442315827,46.30171509953436,72.30406066464882,9279376.251384592,6320.710134302391,6.105285906720775,36.68375615566179,39.54471830985917,282891.7351351351,377.158566878981,182.8024864864865,0.7370892018779343
bert-base-cased_batch8-inf,0,bert-base-cased_batch8-inf,0,whisper-large-v2_batch8-inf,11,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,11.747958573804285,54.63636430911887,34.92977891156479,1702684.6199599656,386.6198204667865,90.94675150128678,0.1894557823129251
bert-base-cased_batch8-inf,0,bert-base-cased_batch8-inf,0,bert-base-cased_batch8-train,12,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,5.262102626088674,28.706094690685045,55.56986013986014,429556.5517241379,442.0544943820222,203.8333620689655,0.6223776223776224
bert-base-cased_batch8-inf,0,bert-base-cased_batch8-inf,0,vit_h_14_batch8-train,13,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,7.184968009820481,37.13651726722484,40.94034782608698,920609.0810810812,348.57717857142893,157.34347297297316,0.6086956521739131
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,wav2vec2-base-960h_batch2-inf,1,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,vit-base-patch16-224_batch8-inf,2,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,albert-base-v2_batch2-train,3,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,13.858839457826116,81.54363580691262,53.20293209876545,540528.3209169054,442.43680000000006,81.08501432664748,0.0771604938271604
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,whisper-large-v2_batch2-inf,4,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,7.800874923826927,40.96898586755094,30.858714765100608,452309.1958465532,730.4021149897334,129.1216613787137,0.1634228187919463
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,albert-base-v2_batch8-train,5,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,6.812170675827464,37.6324821150257,78.95995833333332,1943566.3954154728,350.9161467889912,163.89756446991422,0.4541666666666666
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,vit-base-patch16-224_batch2-inf,6,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,16.633334067861327,94.01533167994236,38.99199475065616,61662.94039735099,221.63180555555556,68.02083885209711,0.1889763779527559
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,bert-base-cased_batch2-inf,7,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,8.184533875923885,49.532910362287154,61.117920000000005,235870.8074534161,387.3094444444444,134.05515527950303,0.288
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,wav2vec2-base-960h_batch8-inf,8,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,682756.7824714864,62.780644321909016,21.0702801326792,64.2385060757653,27973292.570635416,74003.0752817931,9.910998486903791,57.24124716144934,29.69304225352114,677125.4468085107,521.1402941176472,108.69638297872348,0.1915492957746478
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,bert-base-cased_batch2-train,9,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,7.601395971866045,45.94715083457058,61.65347826086955,210461.93103448275,329.7787323943663,143.709051724138,0.4409937888198758
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,vit_h_14_batch2-train,10,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,183316.88839231597,44.95736442315827,46.30171509953436,72.30406066464882,9279376.251384592,6320.710134302391,6.105285906720775,36.68375615566179,39.54471830985917,282891.7351351351,377.158566878981,182.8024864864865,0.7370892018779343
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,whisper-large-v2_batch8-inf,11,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,11.747958573804285,54.63636430911887,34.92977891156479,1702684.6199599656,386.6198204667865,90.94675150128678,0.1894557823129251
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,bert-base-cased_batch8-train,12,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,5.262102626088674,28.706094690685045,55.56986013986014,429556.5517241379,442.0544943820222,203.8333620689655,0.6223776223776224
bert-base-cased_batch8-inf,0,wav2vec2-base-960h_batch2-inf,1,vit_h_14_batch8-train,13,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,8.61241068595606,50.26963320036693,49.73134715025908,355292.44444444444,386.4577966101695,128.5680952380952,0.3056994818652849,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,7.184968009820481,37.13651726722484,40.94034782608698,920609.0810810812,348.57717857142893,157.34347297297316,0.6086956521739131
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,vit-base-patch16-224_batch8-inf,2,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,albert-base-v2_batch2-train,3,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,13.858839457826116,81.54363580691262,53.20293209876545,540528.3209169054,442.43680000000006,81.08501432664748,0.0771604938271604
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,whisper-large-v2_batch2-inf,4,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,7.800874923826927,40.96898586755094,30.858714765100608,452309.1958465532,730.4021149897334,129.1216613787137,0.1634228187919463
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,albert-base-v2_batch8-train,5,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,6.812170675827464,37.6324821150257,78.95995833333332,1943566.3954154728,350.9161467889912,163.89756446991422,0.4541666666666666
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,vit-base-patch16-224_batch2-inf,6,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,16.633334067861327,94.01533167994236,38.99199475065616,61662.94039735099,221.63180555555556,68.02083885209711,0.1889763779527559
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,bert-base-cased_batch2-inf,7,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,8.184533875923885,49.532910362287154,61.117920000000005,235870.8074534161,387.3094444444444,134.05515527950303,0.288
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,wav2vec2-base-960h_batch8-inf,8,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,682756.7824714864,62.780644321909016,21.0702801326792,64.2385060757653,27973292.570635416,74003.0752817931,9.910998486903791,57.24124716144934,29.69304225352114,677125.4468085107,521.1402941176472,108.69638297872348,0.1915492957746478
bert-base-cased_batch8-inf,0,vit-base-patch16-224_batch8-inf,2,bert-base-cased_batch2-train,9,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,4.970990415291147,24.972133812000106,41.29881188118812,561325.5155279504,531.3158333333334,223.9138509316772,0.594059405940594,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,5.984033920877607,35.283317048542585,91.82514450867052,229053.0331125828,507.5590654205606,190.0227814569538,0.3092485549132948,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,7.601395971866045,45.94715083457058,61.65347826086955,210461.93103448275,329.7787323943663,143.709051724138,0.4409937888198758
