HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.480489594715012,0.7455173329625875,1.0,1.0,0.13002544337590874,0.42571382110605577,0.42571382110605577,0.13002544337590874,0.13002544337590874,0.7455173329625875,1.0,0.13002544337590874,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6464383630269263,1.0,0.8362539172648639,0.8362539172648639,0.5600121503048471,0.738584741184781,0.3891119702359789,0.5600121503048471,0.44087584173166394,0.689655116862037,0.5171844920934948,0.5600121503048471,161.7458225305613
albert-base-v2_batch2-train,1.0,0.48251432174751085,0.6502312881596128,1.0,1.0,0.298721061405058,0.3089331943954119,0.3089331943954119,0.298721061405058,0.2409788861793479,0.6502312881596128,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.8670704844630165,0.9599294197859067,0.9958906889223409,0.9958906889223409,0.8185795337680415,0.8268246450260778,0.8268246450260778,0.8185795337680415,0.8185795337680415,0.8415041880522015,1.0,0.9599294197859067,113.2024145437841
wav2vec2-base-960h_batch8-inf,1.0,0.5692555466133281,1.0,0.43748402354698124,0.43748402354698124,0.21685313088748912,0.5461847352390885,0.5461847352390885,1.0,0.43748402354698124,1.0,0.7974042904488703,0.7137743979302026,119.46299647145413
bert-base-cased_batch8-train,1.0,0.5912022996593732,0.8846027208142897,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.36760076136275066,0.6367572013849245,0.8186076151158612,0.36760076136275066,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.680131804459239,1.0,0.775804652083366,0.775804652083366,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.6182396137378569,0.8420659676983189,0.775804652083366,0.6905420286133422,145.3165178952383
vit_h_14_batch8-train,1.0,0.35002582765879414,1.0,0.13866097153499876,1.0,0.21788147519255682,0.08765913587061978,0.08765913587061978,0.21788147519255682,0.13866097153499876,1.0,0.3059275556957955,0.3059275556957955,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6474002516132468,1.0,0.9087149576753218,0.9087149576753218,0.8773013744577847,0.8773013744577847,0.4380896099407617,0.8773013744577847,0.5784500916663324,0.8773013744577847,0.5784500916663324,0.5784500916663324,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.37708478318391486,0.4499417115583214,0.3164147431222791,1.0,0.23360236750168367,0.16430429476399308,0.16430429476399308,0.16430429476399308,0.23360236750168367,0.4499417115583214,0.3164147431222791,0.16430429476399308,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.9385979952719705,0.877195990543941,0.877195990543941,0.877195990543941,1.0,1.0,1.0,1.0,0.877195990543941,1.0,0.877195990543941,0.877195990543941,104.53099356528678
albert-base-v2_batch16-train,1.0,0.6398944660990434,1.0,0.6655635760758167,0.6655635760758167,0.644007593815133,1.0,1.0,0.644007593815133,0.5400242394663252,1.0,0.6813354249292901,0.6655635760758167,52.263152361310574
wav2vec2-base-960h_batch2-inf,1.0,0.6555002218925108,0.9362292935767959,0.8717991927662279,0.8717991927662279,0.4163144099722503,0.5446304762980363,0.5446304762980363,0.4163144099722503,0.43033609982218207,0.5446304762980363,0.38919208081208234,0.4163144099722503,119.14691721842664
albert-base-v2_batch8-train,1.0,0.47843602905681026,1.0,0.9248744559537534,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.6251166855463627,0.6251166855463627,0.2778883294133905,0.6251166855463627,0.3838404961737837,0.36962648534646164,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6467355407973728,0.8575595254353239,0.8722178745812824,0.8722178745812824,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.45113416138436896,0.8575595254353239,0.4121717058518611,0.4121717058518611,140.29303667130998
bert-base-cased_batch16-train,1.0,0.7217159058366084,0.4802604342820521,0.7100005286870427,0.7100005286870427,0.7079557163370506,0.7062801915099122,0.7062801915099122,1.0,0.7079557163370506,0.4802604342820521,0.7311409291932361,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.7830929910257697,0.9599974192541695,0.4615331575342425,0.4615331575342425,0.6383186313740139,0.7846922764699691,0.7846922764699691,0.6383186313740139,0.8540164615222233,0.7846922764699691,1.0,0.9599974192541695,108.66632811137836
bert-base-cased_batch2-train,1.0,0.5155998740681864,1.0,0.3438801766250293,0.3438801766250293,0.7236445460266404,0.7236445460266404,0.30626085728570646,0.7236445460266404,0.19977347060148506,0.7236445460266404,0.9467539452546334,0.7086847124313713,97.87672941119317
vit_h_14_batch2-train,1.0,0.4736921146957154,0.7684013874786446,0.30412184830454586,0.968078505465862,0.6819940662041939,0.6819940662041939,0.2605690666769223,0.6819940662041939,0.08230815809032595,0.6819940662041939,0.30412184830454586,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.5788307136736975,0.7411619413991534,1.0,1.0,0.825003337460946,0.04434000918589089,0.04434000918589089,0.7411619413991534,0.28364828032249734,0.825003337460946,0.28364828032249734,1.0,84.91698260098705
