HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.40932943860719223,1.0,0.19348979610932696,1.0,1.0,1.0,0.19348979610932696,0.1725103312335565,1.0,0.19348979610932696,1.0,0.332093826792814,25.905924810035895
vit-base-patch16-224_batch8-inf,1.0,0.7067054347779631,1.0,1.0,1.0,1.0,0.689655116862037,1.0,1.0,0.8362539172648639,0.49460631117065734,0.689655116862037,0.887786817923133,161.7458225305613
albert-base-v2_batch2-train,1.0,0.48208283398625035,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.08641928866686825,0.6941997600206968,0.2429041168635533,1.0,0.9401992213113318,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6644423449557055,1.0,0.8492484265236528,0.7466199559173542,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.7466199559173542,0.425570367026222,0.8492484265236528,0.7497007093472036,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.6717023482303558,0.9902907401573539,0.7661181000747064,0.9902907401573539,0.7661181000747064,0.7661181000747064,0.7661181000747064,0.21474764749201114,0.7896620849932613,0.4332363774853572,0.7661181000747064,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.4860436421136501,1.0,0.6860490726281833,1.0,0.6860490726281833,0.6860490726281833,0.6860490726281833,0.15353506388296892,1.0,0.2870911580700693,0.6860490726281833,0.8819766686189561,87.77058230585791
bert-base-cased_batch16-inf,1.0,0.6821923009262109,0.9307997442515209,0.9307997442515209,0.9307997442515209,0.9307997442515209,0.7147995820164955,0.9307997442515209,0.31734179426592996,0.775804652083366,0.6182396137378569,0.7147995820164955,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.44607092944492166,0.8177332487912197,0.8177332487912197,0.11657620876696088,0.8177332487912197,0.8177332487912197,0.8177332487912197,0.09155532466317584,1.0,0.31952512886369994,0.8177332487912197,1.0,67.25758135439466
vit-base-patch16-224_batch16-inf,1.0,0.7123565663610827,1.0,0.612057385578228,0.9087149576753218,0.9442358002821596,0.7450673014016352,0.612057385578228,0.18373485410065435,0.7744047310906996,0.5784500916663324,0.7450673014016352,0.9442358002821596,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.3413588364787149,0.6371425351187133,0.6371425351187133,1.0,0.6371425351187133,0.08841029776747134,0.6371425351187133,0.09691074989343255,1.0,0.3044983956501828,0.6371425351187133,1.0,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.745014564668733,1.0,0.6769869359071918,0.6769869359071918,0.6769869359071918,0.6769869359071918,1.0,1.0,0.6769869359071918,0.5580567580990071,1.0,0.6769869359071918,123.8383918006404
albert-base-v2_batch16-train,1.0,0.6724463707916049,0.9353966800994905,0.6894679254398438,0.9353966800994905,0.6894679254398438,0.6894679254398438,0.6894679254398438,0.6894679254398438,1.0,0.45608041232739366,0.6894679254398438,0.8425494915750965,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.6628705939210094,0.9362292935767959,0.7782071968695128,0.9362292935767959,0.7782071968695128,0.7782071968695128,0.7782071968695128,0.7782071968695128,0.8717991927662279,0.4163144099722503,0.7782071968695128,0.7058265126335805,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4803651914901891,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.23232345843721827,1.0,0.2778883294133905,1.0,0.3599723746445445,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6866548348744855,1.0,0.9374484608662497,1.0,0.9374484608662497,0.9374484608662497,0.9374484608662497,0.9374484608662497,0.9991933355756889,0.4931611307323281,0.9374484608662497,1.0,128.3373273006997
bert-base-cased_batch16-train,1.0,0.7511664838087395,0.8413961733028941,0.6570215635274277,0.8413961733028941,1.0,1.0,0.6570215635274277,0.3222024222888728,0.8413961733028941,0.6570215635274277,1.0,0.7984286924570645,43.581127645220526
bert-base-cased_batch2-inf,1.0,0.6970670067282047,1.0,0.8937400618301844,1.0,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.5838399737438961,0.6462781442162702,0.8937400618301844,0.726479381278119,143.5958090967668
bert-base-cased_batch2-train,1.0,0.44857421970414574,1.0,0.19977347060148506,0.7086847124313713,0.7086847124313713,0.5067862283527558,0.19977347060148506,0.3364355870904418,0.7086847124313713,0.19977347060148506,0.5067862283527558,0.7086847124313713,97.87672941119317
vit_h_14_batch2-train,1.0,0.3795078727328528,0.6819940662041939,0.6819940662041939,0.968078505465862,0.6819940662041939,0.6819940662041939,0.6819940662041939,0.05401270571579814,0.968078505465862,0.08230815809032595,0.6819940662041939,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.25180944012063416,1.0,0.06543201161915332,1.0,0.04434000918589089,0.04434000918589089,0.06543201161915332,0.048012083764117065,1.0,0.06543201161915332,0.04434000918589089,1.0,84.91698260098705
