workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
mobilenet_batch16-train,mobilenet_v2_1.0_224_batch2-inf,"(346.7140319715808, 64.78092068774265)","(355.09138381201046, 66.51480637813212)","(354.97521460524723, 65.83248788186225)","(340.1862590054472, 65.90678253018847)","(362.2184717453297, 62.57366334511947)","(374.89459101313093, 64.70914127423822)","(390.5489923558026, 63.36805555555556)","(388.59702006717765, 62.9853321829163)","(338.2274898284097, 65.72875633089477)","(365.12498911244666, 65.75836054498367)"
mobilenet_batch16-train,vit-base-patch16-224_batch8-inf,"(405.5019022534387, 78.44981025623804)","(360.6154155058605, 76.352345154437)","(386.06527319398606, 73.39910764783511)","(385.09250914488683, 69.5196714481281)","(384.9629415299695, 66.16813958758215)","(365.5356775652889, 59.6222562531904)","(395.40806910043926, 52.25015657153082)","(411.97619448311735, 42.34492259725193)","(397.6009564555812, 25.8959947675901)","(360.39833500184415, 81.00423052916291)"
mobilenet_batch16-train,mobilenet_v2_1.0_224_batch8-inf,"(386.0357925285231, 87.6251922427698)","(370.6812302385743, 87.83275680553467)","(409.58067394139044, 88.76054411429439)","(386.65071134157694, 87.14792016414849)","(403.6992360273422, 88.43460155214841)","(386.70531922065663, 88.10107486328494)","(389.2718214700061, 89.90839812177661)","(354.8414861569359, 87.5201378741898)","(363.1935554375995, 80.4130808950086)","(387.6651982378855, 88.06454045087838)"
mobilenet_batch16-train,vit-base-patch16-224_batch2-inf,"(374.4270205066345, 64.04210988046935)","(394.062671797691, 63.40245358810118)","(388.5644020903781, 62.81596213832419)","(392.68349154896964, 61.51253423214662)","(404.9759114115194, 57.74174411706545)","(385.2799129310931, 52.565256525652565)","(339.02009592617327, 44.98882982821046)","(384.7241867043847, 36.56169786514744)","(385.84081143491863, 23.21882951653944)","(372.3041997729852, 63.860032804811375)"
mobilenet_batch16-train,vit-base-patch16-224_batch16-inf,"(381.70362175941517, 81.16888757622614)","(376.9458270215682, 78.83236311482325)","(403.8844177827933, 75.51317278163893)","(388.74897272076566, 71.55876181286281)","(388.5200898427751, 67.1254723351676)","(404.14292634541306, 61.781780193332544)","(382.061835728026, 53.814345116739815)","(384.8609987653796, 42.29279067241192)","(388.374784654033, 26.243799958432337)","(366.917931839898, 83.6062346772606)"
mobilenet_batch16-train,mobilenet_v2_1.0_224_batch16-inf,"(413.08960947098024, 93.42131573685263)","(381.1475409836065, 94.61703592693102)","(354.3063336815117, 95.30414915752111)","(383.3098794527051, 94.15558242644096)","(362.5953544184452, 94.35905721729647)","(374.7189976045697, 92.98437655488108)","(374.20912116446624, 91.81668107853156)","(394.3397752082154, 88.89227139541079)","(408.50055144940654, 82.31438739913315)","(390.92134665460117, 93.03437014616273)"
mobilenet_batch16-train,wav2vec2-base-960h_batch2-inf,"(373.1897711978466, 17.94425087108014)","(378.4739271334577, 15.01457725947522)","(384.7968290251198, 15.885746013140444)","(379.79281238009975, 16.833366019480945)","(389.15966188693466, 15.287569573283859)","(371.0039705048213, 13.650339270568278)","(412.38159675236807, 13.37506005791531)","(378.777836035733, 12.335181614591441)","(389.5386423743755, 8.743930184386565)","(365.40075982868285, 17.61376267592387)"
mobilenet_batch16-train,wav2vec2-base-960h_batch16-inf,"(362.2873732924726, 121.08209777673285)","(380.68153959303754, 119.22503725782414)","(376.503986604123, 114.3126673418143)","(392.2674708728385, 104.40688274498872)","(368.2705248990579, 100.49760952288028)","(388.7266093094201, 94.58978568066765)","(368.7501173466514, 88.52314600947541)","(392.79417641573747, 72.44401853300863)","(397.79694019471486, 49.91549500542165)","(332.97812323700873, 123.28869604249272)"
mobilenet_batch16-train,wav2vec2-base-960h_batch8-inf,"(375.64240026620325, 60.61141024509371)","(375.26187259046225, 65.48205600940908)","(383.9970560839016, 60.10825321331134)","(392.06090266449155, 58.68527882629442)","(408.189478579575, 53.41838785379958)","(381.20728804449175, 56.37888802222314)","(379.2312279531419, 48.24920950931023)","(379.0167052669584, 41.1522633744856)","(386.67960679475806, 27.83896644458559)","(334.19870063123494, 64.99550395178974)"
mobilenet_batch16-train,bert-base-cased_batch2-inf,"(394.709792366203, 81.41642269622194)","(348.6953913825852, 75.23834063385726)","(419.39903187505706, 66.60583941605839)","(370.6357803516374, 59.713701431492844)","(404.5821675552974, 50.725267089377226)","(387.406873347753, 41.94197069807527)","(365.85609926948865, 33.085944139142256)","(376.347057198121, 22.591876208897485)","(373.84016761448663, 11.75239475167029)","(369.1095794063863, 81.39372822299651)"
vit_h_14_batch2-train,whisper-large-v2_batch16-inf,"(None, None)","(1.8729729996155478, 21.683925211510374)","(None, None)","(3.370779605553175, 18.221904764010855)","(4.0095868316727215, 16.685397240024702)","(4.6488189984082675, 13.993186812440351)","(5.140153119737154, 11.280408504113788)","(5.723643674806239, 7.764282416350222)","(6.297537044704583, 4.302029628662795)","(4.403411636116039, 19.743715077105914)"
vit_h_14_batch2-train,whisper-large-v2_batch8-inf,"(0.9834240027767266, 10.402122840991433)","(1.8908755650217899, 9.293177183896638)","(2.654727799485217, 8.84463708006758)","(3.402202859679134, 8.331159547771719)","(4.013237237277988, 7.411324936230226)","(4.642414522125829, 6.34303828454685)","(5.155357219903968, 5.344749302717779)","(5.75040831167322, 3.916130179010873)","(6.284240747186226, 2.0578875784007713)","(4.848436784675335, 7.907065116216584)"
vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(1.0005269047012924, 1.5562744301089242)","(1.9208419880146281, 1.5137531083376934)","(None, None)","(None, None)","(4.069884859815733, 1.2730776218910023)","(4.691771305230097, 1.1497229502560644)","(5.203240031736073, 0.9858619735808134)","(5.779573008616261, 0.7948941555986017)","(6.279949387374459, 0.48046198985898675)","(5.358850265180852, 1.323363141124473)"
vit_h_14_batch2-train,bert-base-cased_batch16-inf,"(0.8989437411042025, 92.64510499910766)","(1.7514064324381702, 84.79898357382703)","(None, None)","(3.183673469387755, 57.761732851985556)","(3.8073394495412844, 47.99572640792258)","(4.472045349334871, 38.014646053702194)","(5.047689640597147, 28.046247493726813)","(5.66946470345397, 18.078396470997948)","(6.273325848833328, 9.042592313022338)","(1.9036539580138543, 83.37646114035871)"
vit_h_14_batch2-train,resnet-50_batch8-inf,"(None, None)","(1.974510859809729, 85.54269811044382)","(2.8039254956939716, 82.7371254515832)","(3.5893424140628594, 81.6355058535733)","(4.242965609647164, 79.80049875311721)","(4.879040455377109, 78.64260705628871)","(5.39568345323741, 71.54013413775151)","(5.963266279716944, 66.84981684981685)","(6.437167646235657, 52.523889825744796)","(6.45099171962257, 77.13644168537841)"
vit_h_14_batch2-train,resnet-50_batch2-inf,"(None, 60.91582351100449)","(2.004008016032064, 64.0772438007461)","(2.8146361077603537, 64.72348442868226)","(3.6166365280289328, 59.87901158617861)","(4.313443565780014, 64.20404573438874)","(4.958677685950414, 64.81687014428412)","(5.387931034482758, 62.57366334511947)","(6.008583690987124, 60.5181347150259)","(6.472491909385114, 47.95139173988012)","(6.618133686300464, 54.5692393945057)"
vit_h_14_batch2-train,resnet-50_batch16-inf,"(1.022532228024687, 87.96505497815936)","(None, None)","(None, None)","(3.592814371257485, 83.95478804650578)","(4.237560192616372, 82.1464992791082)","(4.849870867259429, 78.45112756704113)","(5.381063237033928, 76.59644233133864)","(5.933410185122398, 69.51036257866782)","(6.333762809011764, 51.57586796931059)","(6.406307749168413, 81.59415987006409)"
vit_h_14_batch2-train,bert-base-cased_batch8-inf,"(0.8977811978966269, 89.76674480267455)","(1.7844396859386153, 79.65356156442868)","(2.5257840454641127, 69.92337164750957)","(3.271160318309062, 59.01225211570039)","(3.8648380257119084, 47.820835636348754)","(4.512080068911768, 39.43880738126994)","(5.062394006125497, 27.97705306777489)","(5.675889987896999, 18.23874327563457)","(6.254558228867955, 8.973433106436595)","(2.9927900965854985, 78.56326091343243)"
vit_h_14_batch2-train,mobilenet_v2_1.0_224_batch2-inf,"(None, 64.98275286524981)","(2.004008016032064, 65.14221974344674)","(2.8469750889679717, 62.40649711476811)","(3.6563071297989027, 64.83126110124334)","(4.271678769756514, 60.732113144758735)","(4.9504950495049505, 64.232292124945)","(5.396654074473826, 60.51186405553829)","(6.0253927264902085, 63.43688898544428)","(6.478482184173993, 61.18386589837611)","(6.776379477250726, 63.88797724537797)"
vit_h_14_batch2-train,vit-base-patch16-224_batch8-inf,"(1.0175527855507505, 78.18723432740904)","(1.9475551227655281, 76.05899781851333)","(None, None)","(3.5037685883071905, 66.1662654015012)","(4.117682162678284, 60.73369211969945)","(4.699786099478806, 55.048898315070105)","(5.25436845749664, 44.25583510154593)","(5.828037776919566, 35.83151823787465)","(6.3196526876426615, 20.571710375680293)","(5.642595593973228, 62.39482892171265)"
vit_h_14_batch2-train,mobilenet_v2_1.0_224_batch8-inf,"(1.030809758332379, 88.29087610552574)","(None, None)","(None, None)","(3.6204135626261924, 88.40448077505299)","(4.269771955361475, 87.16743162058286)","(4.914624157267973, 88.08446455505279)","(5.441854962735124, 86.32349137134622)","(6.04932526756631, 86.31711192402912)","(6.5136935603256845, 78.83369330453563)","(6.725739297533895, 84.32908559257788)"
vit_h_14_batch2-train,vit-base-patch16-224_batch2-inf,"(None, None)","(None, None)","(2.823529411764706, 62.3931623931624)","(3.6140224069389233, 60.833333333333336)","(4.2334442092531, 56.49608203540679)","(4.9504950495049505, 50.15458605290278)","(5.3608656805321155, 39.23412831709775)","(5.934718100890208, 33.11220729148948)","(6.378454996456414, 20.171318043658466)","(6.705783738474434, 65.54433221099887)"
vit_h_14_batch2-train,vit-base-patch16-224_batch16-inf,"(None, None)","(None, None)","(2.6824242895463204, 72.91000171663104)","(3.457666534071785, 66.63053709461194)","(4.111357225949357, 65.12587471075302)","(4.716538703755812, 56.56105858282587)","(5.196785617544669, 45.86282382275275)","(5.779429043218697, 35.417282602927685)","(6.320861051561429, 20.814399002049363)","(5.331240085692325, 72.61875155433972)"
vit_h_14_batch2-train,mobilenet_v2_1.0_224_batch16-inf,"(None, None)","(1.98132748941791, 94.35524588508532)","(2.821792923811591, 93.79454337395354)","(3.6126600172779395, 94.51176339692108)","(4.274482863903519, 93.59161842184339)","(4.910779403899451, 91.80946392076717)","(5.436023936777672, 87.7964445446687)","(6.047533614207673, 86.48008292610692)","(6.511701329965666, 78.68234026070262)","(6.6711964914448085, 89.21989878735796)"
vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(None, None)","(1.9746697535067412, 15.56973123318318)","(2.7968282777190976, 15.479876160990713)","(3.564048039773578, 14.750741117332836)","(4.204660587639311, 12.751943742881195)","(4.807862268886767, 11.983990319728209)","(5.309171484045062, 11.854614092028635)","(5.841330392799666, 10.254776435917604)","(6.304442661938334, 7.286412609030907)","(6.133730469243003, 12.900316871861026)"
vit_h_14_batch2-train,wav2vec2-base-960h_batch16-inf,"(None, None)","(1.9566181078891454, 121.25849839597376)","(2.7658975081312267, 100.68426197458454)","(3.520583851570129, 104.11007366040405)","(4.147812971342383, 95.81172530871376)","(4.756470826623439, 86.85661280291771)","(5.2648584950487525, 78.5569919536285)","(5.847867721232146, 63.16693241751502)","(6.306146089180057, 40.219646125686396)","(5.4515776295145875, 129.52512693148057)"
vit_h_14_batch2-train,wav2vec2-base-960h_batch8-inf,"(1.015228426395939, 62.04632390590645)","(None, None)","(None, None)","(3.535346667935765, 58.38671277138485)","(4.16222396361908, 55.34361399172532)","(4.7998443293731015, 44.4746699482928)","(5.285754578027557, 43.16486463833711)","(5.8762613491318065, 33.40847537341269)","(6.332955115180621, 22.09802512309458)","(5.773113784375623, 58.99282635776572)"
vit_h_14_batch2-train,bert-base-cased_batch2-inf,"(None, 81.4391298284758)","(None, None)","(None, None)","(3.64963503649635, 59.74424552429667)","(4.045171077026799, 45.033929673041335)","(4.736842105263158, 38.55548953588169)","(5.1647036593814954, 27.049559981472903)","(5.776280223645721, 18.29459307060961)","(6.2967627231646786, 9.204532917238009)","(6.168080185042406, 59.416013836605956)"
vit_h_14_batch16-train,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6.799830004249893, None)","(7.820136852394918, None)","(None, None)","(9.820254274441035, None)","(10.425716768027801, None)"
vit_h_14_batch16-train,whisper-large-v2_batch8-inf,"(None, None)","(2.4763968425940255, None)","(3.6285293117133457, None)","(4.742380082003656, None)","(5.8369814467375445, None)","(6.885422270037655, None)","(None, None)","(8.86672208367969, None)","(9.783938035059112, None)","(None, None)"
vit_h_14_batch16-train,resnet-50_batch8-inf,"(None, 86.19926199261992)","(2.4403263936551514, 85.44882581022752)","(None, None)","(4.683644879354326, 81.98217168526708)","(None, None)","(None, None)","(7.751937984496124, 74.57302474062251)","(None, None)","(9.592805395953034, 54.0215531196522)","(10.007242083086444, 48.55135719333251)"
vit_h_14_batch16-train,resnet-50_batch16-inf,"(None, None)","(None, None)","(3.5838279762571394, 86.86759756800475)","(None, None)","(5.750109811124865, 83.75761921835783)","(6.746784735399537, 81.25358701890467)","(None, None)","(8.638002893730969, 70.69255095401655)","(9.519634245631615, 57.493754691672514)","(None, None)"
vit_h_14_batch16-train,bert-base-cased_batch8-inf,"(None, 90.6199084490651)","(2.1630390698932, 79.50987066031314)","(3.1867748842304437, 71.6037273173124)","(4.179455364722784, 61.9447906446395)","(None, None)","(None, None)","(7.171404026444552, 30.78423362281407)","(None, None)","(9.357855813616261, 10.339714507026668)","(7.2537685594468995, 38.706897980149456)"
vit_h_14_batch16-train,mobilenet_v2_1.0_224_batch8-inf,"(None, 89.85997845822435)","(2.4590793821563053, 89.09909222671448)","(None, None)","(None, None)","(5.792903692976104, 88.62248188474524)","(6.842480399144689, 88.16092387817488)","(None, None)","(None, None)","(9.72496581066707, 78.60291396076583)","(10.274705672493756, 64.05088974801897)"
vit_h_14_batch16-train,vit-base-patch16-224_batch2-inf,"(None, 65.5664084427978)","(None, 65.011688745408)","(None, 63.141961293112765)","(None, 61.23518926287092)","(None, None)","(None, None)","(None, None)","(None, None)","(9.607686148919134, 21.182444686253174)","(10.025062656641603, 53.96913409111912)"
vit_h_14_batch16-train,vit-base-patch16-224_batch16-inf,"(1.1804633318577542, 81.39940065509792)","(2.3590370073930536, 78.11663991439272)","(3.367357676523203, 74.2553800184367)","(4.401131719585036, 69.30105612910882)","(None, None)","(None, None)","(None, None)","(None, None)","(9.414145413353568, 23.3788199500598)","(None, None)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch2-inf,"(1.2145364835373376, 17.293195211631772)","(2.441919620145837, 17.05778116357253)","(None, None)","(4.650036328408816, 14.003888458348628)","(5.635663181067694, 15.546700476966734)","(6.595094898169487, 13.535711939023589)","(7.605413264735487, 11.336121505613031)","(8.594552008976532, 10.333065810593899)","(9.509140829036362, 7.808650164891399)","(9.674708426425072, 9.19963201471941)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch16-inf,"(1.2034599473486274, 114.98172959805115)","(None, None)","(None, None)","(4.600080501408775, 103.23709536307962)","(5.6137536965565635, 98.44100318056208)","(6.8699012451696, 83.96335497642977)","(7.58893280632411, 76.89801238188335)","(8.63418056230101, 60.11781563445311)","(9.560428140912398, 38.92061266981385)","(9.237875288683604, 99.62009286618826)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(2.428781055507767, 61.37894046838687)","(3.562114369314929, 55.1023137622041)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.554241282707713, 24.34542134715271)","(None, None)"
vit_h_14_batch16-train,bert-base-cased_batch2-inf,"(None, 80.83044982698962)","(None, 75.73596161327973)","(None, None)","(None, None)","(None, 50.47973031376955)","(6.460730870179689, 40.065861690450056)","(None, None)","(8.695652173913043, 20.836306550592266)","(9.423127889513825, 10.33664908492336)","(None, 82.74298668177954)"
albert-base-v2_batch2-train,whisper-large-v2_batch16-inf,"(3.663936725047793, 23.36355851947625)","(6.998683965046919, 23.05481954847248)","(10.102289641194542, 20.510982336658902)","(12.546943826695339, 18.43429315447893)","(15.264806459955745, 17.221704363528442)","(17.850735257130403, 15.025528811086799)","(None, None)","(None, None)","(None, None)","(15.821705612526719, 21.994095759730516)"
albert-base-v2_batch2-train,whisper-large-v2_batch8-inf,"(3.7170408456847985, 10.461951001503271)","(7.082736732083905, 9.592460140068544)","(10.228763282349968, 9.031067309947545)","(12.68417869942921, 8.284620968536538)","(15.25628879396087, 7.5367875723495015)","(17.858486392459348, 6.714931595708963)","(None, None)","(None, None)","(None, None)","(16.963670519444346, 9.482643540064169)"
albert-base-v2_batch2-train,whisper-large-v2_batch2-inf,"(3.7701964363015223, 1.5929920721579012)","(7.1915898117735875, 1.532268382013847)","(10.333886951304786, 1.55176803629028)","(12.857863514248061, 1.4243832282332116)","(15.446407665567982, 1.306047507161071)","(18.005174102291058, 1.1891073152034874)","(None, None)","(None, None)","(None, None)","(18.957332319356585, 1.5821107815473658)"
albert-base-v2_batch2-train,bert-base-cased_batch16-inf,"(None, None)","(6.574942164860587, 84.66068678082812)","(9.3420334013625, 70.25880866806021)","(11.769912562946306, 58.80575974222133)","(14.442305582429858, 48.98866507984775)","(17.24633515377982, 39.186740924646045)","(None, None)","(None, None)","(None, None)","(5.372780239332938, 87.65313971595279)"
albert-base-v2_batch2-train,resnet-50_batch8-inf,"(3.8587234712761354, 87.54965894610599)","(7.328052482813972, 85.9329017068864)","(10.745912241716693, 84.20445533847595)","(13.412912334745219, 82.37243908459395)","(15.95448642631872, 80.58784972573913)","(18.578279096420065, 78.02792437704589)","(None, None)","(None, None)","(None, None)","(24.06145818234527, 77.08298960567564)"
albert-base-v2_batch2-train,resnet-50_batch2-inf,"(3.883495145631068, 64.97552291944815)","(7.3741903338315895, 64.46627663097473)","(10.795180722891565, 65.59586656183309)","(13.481631277384563, 61.55143338954469)","(16.052720513687056, 62.81596213832419)","(18.686825787819586, 65.10590858416946)","(None, None)","(None, None)","(None, None)","(24.348600697795263, 55.471124620060785)"
albert-base-v2_batch2-train,resnet-50_batch16-inf,"(3.851360369120479, 88.7790973871734)","(7.31654831073811, 87.64820651358247)","(10.710994418459077, 86.30116743017585)","(13.419847068240262, 85.30373021234641)","(15.977505788951373, 83.18051524916766)","(None, None)","(None, None)","(None, None)","(None, None)","(23.978201634877383, 82.9398189241967)"
albert-base-v2_batch2-train,bert-base-cased_batch8-inf,"(3.411444584331722, 88.99386643300697)","(6.611141718248696, 78.29992625863109)","(9.489331358674784, 68.32606978852847)","(12.022698855439069, 59.535642378367356)","(14.672619632987825, 47.95336043026646)","(17.414281621088154, 39.871646070867754)","(None, None)","(None, None)","(None, None)","(8.512950552436154, 79.0390796819489)"
albert-base-v2_batch2-train,mobilenet_v2_1.0_224_batch2-inf,"(None, None)","(7.408851627997661, 62.180579216354346)","(10.869565217391303, 64.45916114790286)","(13.569267442926561, 65.48553487328998)","(16.164845901056932, 65.61797752808988)","(18.79194630872483, 66.03346901854366)","(None, None)","(None, None)","(None, None)","(25.014591845243057, 63.79027853631896)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch8-inf,"(3.8343033207805544, 78.21865059434121)","(None, None)","(10.49323831434824, 71.65424373485476)","(13.068505937872736, 66.48451730418942)","(15.53370386204931, 61.869322244881744)","(18.214859268024682, 54.51320825165687)","(None, None)","(None, None)","(None, None)","(20.683155454800172, 67.25011515430678)"
albert-base-v2_batch2-train,mobilenet_v2_1.0_224_batch8-inf,"(3.8881812696922973, 88.40448077505299)","(7.372818874416319, 87.90877958830391)","(10.830959665224883, 89.17732391677801)","(13.533782134012348, 89.35128518971848)","(16.126217319976263, 89.04814546563489)","(18.76539876472375, 87.6514952534614)","(None, None)","(None, None)","(None, None)","(24.88607349471575, 85.9139389481427)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch2-inf,"(3.8600102933607823, 66.74285714285715)","(7.3509636934110265, 62.2070728589689)","(10.716025328787142, 62.20044733198424)","(13.382188943762944, 59.09734871483506)","(15.921706105755185, 55.130746719531764)","(18.486199987072588, 47.892406101361324)","(None, None)","(None, None)","(None, None)","(22.076150316259454, 46.25376207825123)"
