HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.3162842636949458,1.0,1.0,1.0,0.1744096852305295,0.18963600941092573,0.18963600941092573,0.1744096852305295,0.28822228710458514,0.3356584577323057,0.28822228710458514,0.18963600941092573,45.36689911107177
vit-base-patch16-224_batch8-inf,1.0,0.7125760635194773,0.9821456060138438,0.4628843196202806,0.4628843196202806,0.5500134727362698,0.555587620992776,0.555587620992776,0.5500134727362698,0.43300427075440856,0.6773417426910135,0.8674499218624596,0.8719359223002174,164.68619473544885
albert-base-v2_batch2-train,1.0,0.5276741660626919,0.7060050740300098,0.33864794656144115,1.0,0.7060050740300098,0.7060050740300098,0.3089331943954119,0.7060050740300098,0.33183124328298846,0.7060050740300098,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.7005126620556489,1.0,0.44981873647206144,0.7891612556164587,0.6486567852033578,0.6551903560314276,0.6551903560314276,0.6486567852033578,0.44981873647206144,1.0,0.7924175458156102,0.7606649149829509,142.8570267550909
wav2vec2-base-960h_batch8-inf,1.0,0.6618734790425093,1.0,0.43748402354698124,0.8250382036123179,0.7736294696171478,0.7736294696171478,0.7736294696171478,0.7736294696171478,0.43748402354698124,0.7736294696171478,0.7974042904488703,0.43748402354698124,119.46299647145413
bert-base-cased_batch8-train,1.0,0.46316795106103825,0.6367572013849245,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.20838743345208954,0.6367572013849245,0.36760076136275066,0.6367572013849245,0.8186076151158612,0.6032184485446053,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.7079759291660208,0.8420659676983189,0.5248421970324572,0.5248421970324572,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.5887365551843904,0.8420659676983189,0.775804652083366,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.42139092103513,0.11161524205369235,0.35316340333778196,0.35316340333778196,0.7829341463800602,0.7829341463800602,0.11161524205369235,0.7829341463800602,0.3059275556957955,0.7829341463800602,0.35316340333778196,0.3059275556957955,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6762054283489536,0.8518809782245322,0.8823843317812649,0.8823843317812649,0.8518809782245322,0.8518809782245322,0.6044940372869132,0.8518809782245322,0.5616891119626276,0.8518809782245322,0.5616891119626276,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.5110577375079165,0.7446484508152941,0.7032349635387504,0.7032349635387504,0.7446484508152941,0.7446484508152941,0.36516795518900447,0.7446484508152941,0.5191836220132353,0.7446484508152941,0.7032349635387504,0.36516795518900447,20.749064064656633
wav2vec2-base-960h_batch16-inf,1.0,0.8468159086833957,0.7906900983667502,1.0,1.0,0.7906900983667502,0.7214146803838263,0.7214146803838263,0.8751588559830068,0.7214146803838263,0.7906900983667502,1.0,0.8751588559830068,95.79629211272899
albert-base-v2_batch16-train,1.0,0.5406337443422797,0.6894679254398438,0.45608041232739366,1.0,0.6894679254398438,0.6894679254398438,0.4455637167257315,0.6894679254398438,0.45608041232739366,0.6894679254398438,0.8425494915750965,0.4455637167257315,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5762313045433027,0.9362292935767959,0.8717991927662279,0.8717991927662279,0.4163144099722503,0.12780677623243122,0.6357292442147153,0.4163144099722503,0.43033609982218207,0.5446304762980363,0.36577637644896194,0.4163144099722503,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4370229434962184,1.0,0.9248744559537534,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.3599723746445445,0.6251166855463627,0.2778883294133905,0.6251166855463627,0.3838404961737837,0.3599723746445445,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.5611883895108242,1.0,0.3748190702405995,0.8722178745812824,0.8575595254353239,0.8575595254353239,0.5049830552155878,0.8575595254353239,0.4121717058518611,0.8575595254353239,0.3748190702405995,0.5049830552155878,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5516894672888204,1.0,0.481026864719806,0.481026864719806,0.45646232158069994,0.4646706709616116,0.4646706709616116,0.45646232158069994,0.4657730199372706,0.5717007991984785,0.481026864719806,0.6579126479085039,76.23065720097128
bert-base-cased_batch2-inf,1.0,0.6732396361264169,0.9690733288517678,0.7372214213705458,0.7372214213705458,1.0,0.7040117923573593,0.565783746872726,0.9690733288517678,0.6262909125798037,1.0,0.7333475884803028,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.4835128274780131,0.9095122975323588,1.0,1.0,0.17124130562754725,0.07944887407799306,0.07944887407799306,0.2837808669399921,0.19633391028838287,0.4980607364592595,0.9304533960046943,0.9304533960046943,99.59142512302661
vit_h_14_batch2-train,1.0,0.48181508938176076,0.7684013874786446,0.7684013874786446,0.7684013874786446,0.2106958730594034,0.5524962761686673,1.0,0.2106958730594034,0.08230815809032595,0.5524962761686673,0.2769888414935236,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.30134152216253346,0.825003337460946,0.28048531609453886,1.0,0.0923329304100783,0.15927056535334502,0.15927056535334502,0.2320637297706609,0.28048531609453886,0.825003337460946,0.28364828032249734,0.15927056535334502,84.91698260098705
